RK,Player,Team,player_id,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
371,"d'Arnaud, T",NYM,518595,C,112,348,39,85,19,1,16,57,23,59,0,0,.244,.293,.443,.735,3,2,0,3,154,36,12,111,108,1.03,1364,376
372,"Hundley, N",SF,460026,C,101,287,27,70,23,0,9,35,12,81,0,0,.244,.272,.418,.691,2,0,2,2,120,32,6,76,70,1.09,1134,303
373,"Marisnick, J",HOU,545350,CF,106,230,50,56,10,0,16,35,20,90,9,4,.243,.319,.496,.815,1,6,2,1,114,26,5,45,47,0.96,1069,259
374,"Myers, W",SD,571976,1B,155,567,80,138,29,3,30,74,70,180,20,6,.243,.328,.464,.792,3,5,0,7,263,62,15,120,151,0.79,2669,649
375,"Torres, R",KC,593527,SS,33,74,9,18,3,0,0,4,4,12,1,0,.243,.291,.284,.575,0,1,0,0,21,3,1,24,21,1.14,311,79
376,"Joyce, M",OAK,459964,RF,141,469,78,114,33,0,25,68,66,113,4,1,.243,.335,.473,.808,0,2,0,7,222,58,10,124,135,0.92,2266,544
377,"Kepler, M",MIN,596146,RF,147,511,67,124,32,2,19,69,47,114,6,1,.243,.312,.425,.737,2,6,1,3,217,53,5,138,144,0.96,2128,568
378,"Gomez, M",SF,622497,2B,22,33,3,8,2,0,0,2,0,6,0,0,.242,.235,.303,.538,0,0,0,1,10,2,1,10,11,0.91,113,34
378,"Gonzalez, A",LAD,408236,1B,71,231,14,56,17,0,3,30,16,43,0,1,.242,.287,.355,.642,1,0,0,4,82,20,7,67,76,0.88,895,252
380,"Ramirez, H",BOS,434670,DH,133,496,58,120,24,0,23,62,51,116,1,3,.242,.320,.429,.750,8,6,0,0,213,47,15,144,131,1.10,2084,553
381,"Castro, J",MIN,488771,C,110,356,49,86,22,0,10,47,45,108,0,0,.242,.333,.388,.720,1,4,1,1,138,32,10,96,78,1.23,1645,407
382,"Carpenter, M",STL,572761,1B,145,497,91,120,31,2,23,69,109,125,2,1,.241,.384,.451,.835,4,9,2,5,224,56,5,88,176,0.50,2764,622
383,"Holaday, B",DET,592407,C,13,29,1,7,2,0,0,2,0,1,0,0,.241,.241,.310,.552,0,0,0,0,9,2,2,13,10,1.30,92,29
383,"Rickard, J",BAL,572073,LF,111,261,29,63,15,0,4,19,9,63,8,1,.241,.276,.345,.621,0,4,2,1,90,19,6,62,82,0.76,1084,277
385,"Pujols, A",LAA,405395,DH,149,593,53,143,17,0,23,101,37,93,3,0,.241,.286,.386,.672,5,2,0,4,229,40,26,204,183,1.11,2486,636
386,"Adduci, J",DET,451192,RF,29,83,14,20,6,2,1,10,10,27,1,1,.241,.323,.398,.720,0,0,0,0,33,9,1,21,16,1.31,387,93
386,"Tomas, Y",ARI,630111,LF,47,166,19,40,11,1,8,32,13,50,0,0,.241,.294,.464,.758,0,0,0,1,77,20,2,45,34,1.32,662,180
388,"Belt, B",SF,474832,1B,104,382,63,92,27,3,18,51,66,104,3,2,.241,.355,.469,.823,2,2,0,1,179,48,5,82,110,0.75,1858,451
389,"Zimmer, B",CLE,605548,CF,101,299,41,72,15,2,8,39,26,99,18,1,.241,.307,.385,.692,1,4,0,3,115,25,5,82,54,1.52,1304,332
390,"Villar, J",MIL,542340,2B,122,403,49,97,18,1,11,40,30,132,23,8,.241,.293,.372,.665,1,0,2,1,150,30,4,121,60,2.02,1765,436
391,"McCann, B",HOU,435263,C,97,349,47,84,12,1,18,62,38,58,1,0,.241,.323,.436,.759,3,7,0,5,152,31,9,112,109,1.03,1582,399
392,"Joseph, T",PHI,571830,1B,142,495,51,119,27,1,22,69,33,129,1,0,.240,.289,.432,.721,1,2,0,3,214,50,21,139,132,1.05,2026,533
393,"Telis, T",MIA,542513,C,48,104,13,25,5,3,0,9,3,10,0,0,.240,.279,.346,.625,0,3,0,1,36,8,1,40,31,1.29,421,111
394,"Wolters, T",COL,547172,C,83,229,30,55,8,1,0,16,33,55,0,1,.240,.341,.284,.625,9,2,2,0,65,9,9,88,42,2.10,1035,266
395,"Souza Jr., S",TB,519306,RF,148,523,78,125,21,2,30,78,84,179,16,4,.239,.351,.459,.810,2,7,2,1,240,53,9,131,100,1.31,2490,617
396,"Russell, A",CHC,608365,SS,110,352,52,84,21,3,12,43,29,91,2,1,.239,.304,.418,.722,5,4,0,0,147,36,5,86,96,0.90,1485,385
397,"Story, T",COL,596115,SS,145,503,68,120,32,3,24,82,49,191,7,2,.239,.308,.457,.765,4,2,0,1,230,59,12,84,121,0.69,2284,555
398,"Amarista, A",COL,506560,SS,96,168,22,40,10,0,3,19,7,38,1,0,.238,.269,.351,.620,0,0,1,0,59,13,5,55,41,1.34,698,176
398,"Garcia, W",CWS,591994,RF,44,105,15,25,5,3,2,12,11,31,0,0,.238,.305,.400,.705,0,0,1,2,42,10,2,32,22,1.45,479,119
398,"Nicholas, B",TEX,592592,C,21,63,7,15,4,0,2,11,2,13,0,0,.238,.262,.397,.658,0,0,0,0,25,6,2,20,17,1.18,225,65
401,"Grichuk, R",STL,545341,LF,122,412,53,98,25,3,22,59,26,133,6,1,.238,.285,.473,.758,3,2,0,2,195,50,9,81,111,0.73,1692,442
402,"Pinder, C",OAK,640461,SS,87,282,36,67,15,1,15,42,18,92,2,1,.238,.292,.457,.750,0,5,0,3,129,31,7,67,66,1.02,1173,309
403,"Maxwell, B",OAK,622194,C,76,219,21,52,12,0,3,22,31,63,0,0,.237,.329,.333,.663,0,0,1,2,73,15,10,72,45,1.60,1132,253
404,"Garcia, A",ATL,611177,3B,52,173,19,41,4,0,5,19,7,23,4,0,.237,.273,.347,.620,0,2,0,1,60,9,9,74,45,1.64,707,183
405,"Goins, R",TOR,572365,SS,143,418,37,99,21,1,9,62,31,96,3,2,.237,.286,.356,.643,0,0,5,5,149,31,14,142,105,1.35,1707,459
406,"Granite, Z",MIN,643335,CF,40,93,14,22,2,0,1,13,12,9,2,2,.237,.321,.290,.611,0,0,1,1,27,3,6,43,27,1.59,431,107
407,"Guyer, B",CLE,446386,RF,70,165,23,39,7,1,2,20,15,43,2,0,.236,.326,.327,.654,0,8,2,2,54,10,4,41,50,0.82,762,192
408,"Utley, C",LAD,400284,2B,127,309,43,73,20,4,8,34,32,57,6,1,.236,.324,.405,.728,0,9,1,2,125,32,3,89,96,0.93,1353,353
409,"Kinsler, I",DET,435079,2B,139,551,90,130,25,3,22,52,55,86,14,5,.236,.313,.412,.725,2,7,0,0,227,50,9,131,213,0.62,2417,613
410,"Bader, H",STL,664056,CF,32,85,10,20,3,0,3,10,5,24,2,1,.235,.283,.376,.659,1,1,0,1,32,6,1,19,24,0.79,366,92
410,"Ethier, A",LAD,444843,RF,22,34,3,8,1,0,2,3,4,10,0,0,.235,.316,.441,.757,1,0,0,0,15,3,0,11,5,2.20,139,38
410,"Freitas, D",SEA,571679,C,6,17,2,4,2,0,0,2,0,4,0,0,.235,.235,.353,.588,0,0,0,0,6,2,1,8,2,4.00,71,17
410,"Fuentes, R",ARI,571681,CF,64,136,19,32,1,2,3,9,8,35,4,1,.235,.278,.338,.616,0,0,1,0,46,6,0,38,32,1.19,584,145
410,"Williamson, M",SF,607776,RF,28,68,8,16,2,0,3,6,5,25,1,1,.235,.288,.397,.685,1,0,0,0,27,5,2,22,7,3.14,300,73
415,"Davis, R",BOS,434658,CF,117,336,56,79,19,2,5,20,27,83,29,7,.235,.293,.348,.641,1,1,1,1,117,26,12,99,89,1.11,1333,366
416,"Piscotty, S",STL,572039,RF,107,341,40,80,16,1,9,39,52,87,3,6,.235,.342,.367,.708,2,5,0,3,125,26,11,111,77,1.44,1617,401
417,"Young, C",BOS,455759,LF,90,243,30,57,12,2,7,25,30,55,3,2,.235,.322,.387,.709,0,2,0,1,94,21,4,60,76,0.79,1110,276
418,"Chapman, M",OAK,656305,3B,84,290,39,68,23,2,14,40,32,92,0,3,.234,.313,.472,.785,0,2,0,2,137,39,2,50,84,0.60,1344,326
419,"Trumbo, M",BAL,444432,DH,146,559,79,131,22,0,23,65,42,149,1,0,.234,.289,.397,.686,0,1,0,1,222,45,13,148,145,1.02,2309,603
420,"Aybar, E",SD,430947,SS,108,333,37,78,15,1,7,22,28,57,11,4,.234,.300,.348,.648,2,4,3,2,116,23,5,125,83,1.51,1361,370
421,"Vogt, S",MIL,519390,C,99,279,25,65,15,1,12,40,21,56,0,1,.233,.285,.423,.708,1,0,1,2,118,28,2,66,97,0.68,1237,303
422,"Romine, A",DET,461865,SS,124,318,45,74,17,2,4,25,22,67,6,4,.233,.289,.336,.625,0,4,2,2,107,23,7,109,79,1.38,1332,348
423,"Almonte, A",CLE,501659,RF,69,172,26,40,8,3,3,14,20,46,2,1,.233,.314,.366,.681,0,1,1,1,63,14,2,55,35,1.57,769,195
423,"Aviles, M",MIA,449107,SS,37,86,5,20,2,0,1,8,6,15,0,0,.233,.298,.291,.589,2,2,3,0,25,3,3,33,24,1.38,352,97
423,"Descalso, D",ARI,518614,3B,130,344,47,80,16,5,10,51,48,89,4,0,.233,.332,.395,.727,0,4,0,2,136,31,6,81,102,0.79,1580,398
423,"Osuna, J",PIT,591741,1B,104,215,31,50,13,4,7,30,9,40,0,0,.233,.269,.428,.697,0,2,0,1,92,24,10,87,49,1.78,841,227
